"tanggal","platform","komentar","likes","sentimen"
"2025-07-20","Twitter","Suara kurang stabil di bagian live, perlu lebih banyak latihan.","611",""
"2025-05-20","Twitter","Nggak suka sama konsep album ini, terlalu jauh dari identitas awal.","765",""
"2025-07-16","Twitter","Koreografinya fresh banget, beda dari lagu-lagu sebelumnya.","663","positif"
"2025-05-31","Instagram","Gak terlalu suka tapi gak benci juga, netral aja.","118","netral"
"2025-07-02","Twitter","Nggak suka sama konsep album ini, terlalu jauh dari identitas awal.","141",""
"2025-05-17","Twitter","Tonton karena penasaran, hasilnya ya begitu deh.","1351","netral"
"2025-05-28","Instagram","Aku kecewa sama keputusan lineup senbatsu kali ini, tidak adil rasanya.","1104",""
"2025-06-09","Twitter","Manajemen perlu lebih transparan soal keputusan-keputusan penting.","817",""
"2025-06-26","Instagram","Suka banget sama lagu barunya, earworm seharian!","1059","positif"
"2025-05-03","Instagram","Harga tiket terus naik tiap tahun, sudah tidak terjangkau untuk fans biasa.","1204",""
"2025-05-01","Twitter","Fans JKT48 paling solid, komunitas yang luar biasa.","145",""
"2025-05-09","Twitter","Aku bangga jadi fans JKT48 sejak debut, selalu konsisten kualitasnya.","64",""
"2025-06-05","Twitter","Informasi harga merchandise belum ada update dari pihak manajemen.","1370","netral"
"2025-06-01","Instagram","Meet and greet tadi menyenangkan sekali, member-nya ramah dan hangat.","968",""
"2025-05-13","Twitter","Outfit handshake event kali ini estetik banget, tim stylist keren!","1349","positif"
"2025-07-26","Twitter","Semangat terus ya JKT48, kalian selalu bikin hari lebih cerah!","1338",""
"2025-06-21","Twitter","Kualitas video MV-nya kurang oke untuk standar 2025 ini.","1491","negatif"
"2025-05-25","Twitter","Aku bangga jadi fans JKT48 sejak debut, selalu konsisten kualitasnya.","1098","positif"
"2025-06-01","Instagram","Sound system di venue sangat buruk, suara member tidak terdengar jelas.","154","negatif"
"2025-05-07","Twitter","JKT48 keren banget! Performnya selalu memukau setiap kali nonton.","1335",""
"2025-05-31","Twitter","Single ke-30 beneran banger, langsung masuk playlist harian.","340","positif"
"2025-05-08","Instagram","Nggak suka sama konsep album ini, terlalu jauh dari identitas awal.","337","negatif"
"2025-06-06","Instagram","Fansnya kadang toxic di Twitter, bikin nggak nyaman diskusi.","866",""
"2025-05-20","Instagram","Merchandise yang dikirim rusak, packaging tidak aman sama sekali.","388","negatif"
"2025-06-10","Twitter","JKT48 buktiin lagi kalau mereka layak ada di industri musik Indonesia!","117","positif"
"2025-05-08","Twitter","Oshi aku masuk senbatsu untuk pertama kalinya, terharu banget nangis 😭❤️","1040","positif"
"2025-07-26","Twitter","Merchandise yang dikirim rusak, packaging tidak aman sama sekali.","481","negatif"
"2025-07-14","Twitter","Anniversary concert kemarin best concert sepanjang masa, energi luar biasa!","1217","positif"
"2025-06-03","Instagram","Jadwal senbatsu untuk single berikutnya belum diumumkan resmi.","418",""
"2025-06-03","Twitter","Single baru sudah tersedia di semua platform streaming hari ini.","810","netral"
"2025-05-10","Instagram","Lagu itu nggak catchy sama sekali, susah masuk ke telinga.","19","negatif"
"2025-07-08","Twitter","Koreografinya fresh banget, beda dari lagu-lagu sebelumnya.","436","positif"
"2025-06-01","Twitter","Live streaming theater semalam kualitasnya jauh meningkat, terima kasih!","756","positif"
"2025-07-18","Instagram","Foto behind the scene event sudah diupload ke akun resmi.","1339","netral"
"2025-07-24","Instagram","Live streaming theater semalam kualitasnya jauh meningkat, terima kasih!","212",""
"2025-05-15","Instagram","Oshi aku masuk senbatsu untuk pertama kalinya, terharu banget nangis 😭❤️","219",""
"2025-06-06","Instagram","Anniversary concert kemarin best concert sepanjang masa, energi luar biasa!","1238","positif"
"2025-07-04","Instagram","Agak mengecewakan sih performnya, ekspektasi aku lebih tinggi dari ini.","1000","negatif"
"2025-07-21","Twitter","Vokal mereka makin stabil dan kuat, improvement banget!","867",""
"2025-06-12","Twitter","Gak terlalu suka tapi gak benci juga, netral aja.","267",""
"2025-06-26","Twitter","Fansnya kadang toxic di Twitter, bikin nggak nyaman diskusi.","1129",""
"2025-05-15","Twitter","Aku kecewa sama keputusan lineup senbatsu kali ini, tidak adil rasanya.","154",""
"2025-07-09","Twitter","Harga tiket terus naik tiap tahun, sudah tidak terjangkau untuk fans biasa.","73",""
"2025-06-25","Twitter","JKT48 buktiin lagi kalau mereka layak ada di industri musik Indonesia!","261","positif"
"2025-06-15","Twitter","Kurang greget tampilannya dibanding grup idol lain yang rilis bulan ini.","430",""
"2025-06-15","Twitter","Informasi harga merchandise belum ada update dari pihak manajemen.","1146",""
"2025-05-31","Twitter","Kolaborasi brand JKT48 kali ini kece banget, proud banget!","332",""
"2025-05-04","Instagram","Theater JKT48 tutup sementara untuk renovasi selama dua minggu.","367",""
"2025-07-25","Instagram","Gak terlalu suka tapi gak benci juga, netral aja.","508","netral"
"2025-05-05","Instagram","Harga tiket terus naik tiap tahun, sudah tidak terjangkau untuk fans biasa.","963","negatif"
"2025-06-09","Instagram","Theater JKT48 tutup sementara untuk renovasi selama dua minggu.","466","netral"
"2025-06-05","Instagram","Lagu itu lumayan, tapi bisa lebih baik menurut selera aku.","142",""
"2025-07-22","Instagram","Sound system di venue sangat buruk, suara member tidak terdengar jelas.","1043","negatif"
"2025-05-04","Instagram","Gak terlalu suka tapi gak benci juga, netral aja.","236",""
"2025-07-14","Twitter","Jadwal senbatsu untuk single berikutnya belum diumumkan resmi.","543","netral"
"2025-06-25","Instagram","Outfit handshake event kali ini estetik banget, tim stylist keren!","1241",""
"2025-07-13","Instagram","Biasa aja sih menurut aku, nggak terlalu excited.","389","netral"
"2025-06-16","Twitter","Jadwal senbatsu untuk single berikutnya belum diumumkan resmi.","883","netral"
"2025-07-24","Instagram","Tonton karena penasaran, hasilnya ya begitu deh.","255",""
"2025-07-25","Instagram","Foto behind the scene event sudah diupload ke akun resmi.","836","netral"
"2025-05-25","Twitter","Line-up anniversary tahun ini cukup padat dengan berbagai kegiatan.","861",""
"2025-07-18","Twitter","Biasa aja sih menurut aku, nggak terlalu excited.","1165","netral"
"2025-06-06","Instagram","Member baru sudah mulai aktif di media sosial resmi mereka.","430","netral"
"2025-06-29","Instagram","Outfit handshake event kali ini estetik banget, tim stylist keren!","904","positif"
"2025-07-24","Twitter","Line-up anniversary tahun ini cukup padat dengan berbagai kegiatan.","173","netral"
"2025-05-12","Instagram","JKT48 buktiin lagi kalau mereka layak ada di industri musik Indonesia!","481",""
"2025-05-19","Twitter","Merchandise yang dikirim rusak, packaging tidak aman sama sekali.","50","negatif"
"2025-06-28","Twitter","Tiket sold out dalam 5 menit, sistem pembelian benar-benar mengecewakan.","848",""
"2025-07-29","Twitter","Anniversary concert kemarin best concert sepanjang masa, energi luar biasa!","786","positif"
"2025-05-14","Twitter","Manajemen perlu lebih transparan soal keputusan-keputusan penting.","870","negatif"
"2025-05-07","Instagram","Harga tiket terus naik tiap tahun, sudah tidak terjangkau untuk fans biasa.","1141","negatif"
"2025-06-29","Twitter","Jadwal senbatsu untuk single berikutnya belum diumumkan resmi.","1367","netral"
"2025-07-18","Instagram","Jadwal handshake event bulan depan masih dalam konfirmasi panitia.","1473",""
"2025-05-21","Instagram","Setlist malam ini sama seperti show sebelumnya, tidak ada perubahan.","972","netral"
"2025-07-06","Instagram","Lagu itu lumayan, tapi bisa lebih baik menurut selera aku.","992",""
"2025-05-10","Instagram","Koreografinya fresh banget, beda dari lagu-lagu sebelumnya.","1461","positif"
"2025-05-18","Twitter","Informasi harga merchandise belum ada update dari pihak manajemen.","308","netral"
"2025-05-09","Twitter","Theater JKT48 tutup sementara untuk renovasi selama dua minggu.","849","netral"
"2025-05-27","Twitter","Informasi harga merchandise belum ada update dari pihak manajemen.","860","netral"
"2025-07-13","Twitter","Nggak suka sama konsep album ini, terlalu jauh dari identitas awal.","779","negatif"
"2025-06-23","Instagram","Nggak suka sama konsep album ini, terlalu jauh dari identitas awal.","1102",""
"2025-07-02","Twitter","Semangat terus ya JKT48, kalian selalu bikin hari lebih cerah!","449","positif"
"2025-07-25","Instagram","Anniversary concert kemarin best concert sepanjang masa, energi luar biasa!","1390",""
"2025-05-17","Instagram","Merchandise yang dikirim rusak, packaging tidak aman sama sekali.","1274","negatif"
"2025-05-11","Twitter","Suara kurang stabil di bagian live, perlu lebih banyak latihan.","1316","negatif"
"2025-06-03","Twitter","Koreografinya fresh banget, beda dari lagu-lagu sebelumnya.","776","positif"
"2025-06-05","Instagram","JKT48 keren banget! Performnya selalu memukau setiap kali nonton.","863","positif"
"2025-06-14","Twitter","Manajemen perlu lebih transparan soal keputusan-keputusan penting.","459",""
"2025-05-04","Twitter","Vokal mereka makin stabil dan kuat, improvement banget!","506","positif"
"2025-05-17","Twitter","Tiket sold out dalam 5 menit, sistem pembelian benar-benar mengecewakan.","969",""
"2025-06-29","Twitter","Oshi aku masuk senbatsu untuk pertama kalinya, terharu banget nangis 😭❤️","1432","positif"
"2025-05-21","Twitter","Aku bangga jadi fans JKT48 sejak debut, selalu konsisten kualitasnya.","637","positif"
"2025-06-20","Instagram","Setlist malam ini sama seperti show sebelumnya, tidak ada perubahan.","1464","netral"
"2025-05-14","Twitter","Setiap kali nonton live selalu ada teknis yang bermasalah, kapan diperbaiki?","1427",""
"2025-07-12","Twitter","Koreografinya fresh banget, beda dari lagu-lagu sebelumnya.","84","positif"
"2025-07-04","Twitter","Setiap kali nonton live selalu ada teknis yang bermasalah, kapan diperbaiki?","1326","negatif"
"2025-05-14","Instagram","Respon customer service sangat lambat, sudah 3 hari belum ada balasan.","887",""
"2025-07-30","Instagram","Member baru sudah mulai aktif di media sosial resmi mereka.","313","netral"
"2025-07-18","Instagram","Streaming concert online tersedia bagi yang tidak bisa hadir langsung.","1102",""
"2025-07-15","Instagram","JKT48 buktiin lagi kalau mereka layak ada di industri musik Indonesia!","549","positif"
"2025-06-05","Twitter","Oshi aku masuk senbatsu untuk pertama kalinya, terharu banget nangis 😭❤️","923","positif"
"2025-06-13","Instagram","Outfit handshake event kali ini estetik banget, tim stylist keren!","58","positif"
"2025-06-15","Twitter","Manajemen perlu lebih transparan soal keputusan-keputusan penting.","529","negatif"
"2025-07-11","Instagram","Fans JKT48 paling solid, komunitas yang luar biasa.","20","positif"
"2025-07-02","Instagram","Aku kecewa sama keputusan lineup senbatsu kali ini, tidak adil rasanya.","1137",""
"2025-07-22","Instagram","Gak terlalu suka tapi gak benci juga, netral aja.","1457","netral"
"2025-05-29","Instagram","Tonton karena penasaran, hasilnya ya begitu deh.","828",""
"2025-06-30","Instagram","Kolaborasi brand JKT48 kali ini kece banget, proud banget!","1133","positif"
"2025-06-15","Instagram","Fans JKT48 paling solid, komunitas yang luar biasa.","1439","positif"
"2025-05-25","Twitter","Jadwal handshake event bulan depan masih dalam konfirmasi panitia.","646","netral"
"2025-05-25","Twitter","Lagu itu lumayan, tapi bisa lebih baik menurut selera aku.","443",""
"2025-05-13","Instagram","Aku bangga jadi fans JKT48 sejak debut, selalu konsisten kualitasnya.","397","positif"
"2025-07-30","Twitter","JKT48 keren banget! Performnya selalu memukau setiap kali nonton.","1093","positif"
"2025-07-29","Instagram","Lagu itu nggak catchy sama sekali, susah masuk ke telinga.","258",""
"2025-05-02","Twitter","Koreografinya fresh banget, beda dari lagu-lagu sebelumnya.","1175","positif"
"2025-05-07","Twitter","Agak mengecewakan sih performnya, ekspektasi aku lebih tinggi dari ini.","517",""
"2025-05-09","Twitter","Member baru sudah mulai aktif di media sosial resmi mereka.","820","netral"
"2025-05-20","Twitter","Tonton karena penasaran, hasilnya ya begitu deh.","305",""
"2025-06-01","Twitter","Informasi harga merchandise belum ada update dari pihak manajemen.","242",""
"2025-07-06","Twitter","Single ke-30 beneran banger, langsung masuk playlist harian.","779","positif"
"2025-06-09","Instagram","Merchandise yang dikirim rusak, packaging tidak aman sama sekali.","1164",""
"2025-05-27","Twitter","Lagu itu lumayan, tapi bisa lebih baik menurut selera aku.","1281","netral"
"2025-05-23","Twitter","Outfit handshake event kali ini estetik banget, tim stylist keren!","1130","positif"
"2025-06-07","Instagram","Informasi harga merchandise belum ada update dari pihak manajemen.","66","netral"
"2025-05-10","Instagram","Meet and greet tadi menyenangkan sekali, member-nya ramah dan hangat.","1407","positif"
