"tanggal","platform","komentar","likes","sentimen"
"2025-06-21","Twitter","Kualitas video MV-nya kurang oke untuk standar 2025 ini.","1491","negatif"
"2025-06-01","Instagram","Sound system di venue sangat buruk, suara member tidak terdengar jelas.","154","negatif"
"2025-05-31","Twitter","Single ke-30 beneran banger, langsung masuk playlist harian.","340","positif"
"2025-06-06","Instagram","Fansnya kadang toxic di Twitter, bikin nggak nyaman diskusi.","866","netral"
"2025-05-20","Instagram","Merchandise yang dikirim rusak, packaging tidak aman sama sekali.","388","negatif"
"2025-05-08","Twitter","Oshi aku masuk senbatsu untuk pertama kalinya, terharu banget nangis 😭❤️","1040","positif"
"2025-07-14","Twitter","Anniversary concert kemarin best concert sepanjang masa, energi luar biasa!","1217","positif"
"2025-06-03","Instagram","Jadwal senbatsu untuk single berikutnya belum diumumkan resmi.","418","netral"
"2025-06-03","Twitter","Single baru sudah tersedia di semua platform streaming hari ini.","810","netral"
"2025-05-10","Instagram","Lagu itu nggak catchy sama sekali, susah masuk ke telinga.","19","negatif"
"2025-06-01","Twitter","Live streaming theater semalam kualitasnya jauh meningkat, terima kasih!","756","positif"
"2025-07-04","Instagram","Agak mengecewakan sih performnya, ekspektasi aku lebih tinggi dari ini.","1000","negatif"
"2025-06-15","Twitter","Kurang greget tampilannya dibanding grup idol lain yang rilis bulan ini.","430","negatif"
"2025-05-31","Twitter","Kolaborasi brand JKT48 kali ini kece banget, proud banget!","332","positif"
"2025-05-04","Instagram","Theater JKT48 tutup sementara untuk renovasi selama dua minggu.","367","netral"
"2025-07-13","Instagram","Biasa aja sih menurut aku, nggak terlalu excited.","389","netral"
"2025-06-28","Twitter","Tiket sold out dalam 5 menit, sistem pembelian benar-benar mengecewakan.","848","negatif"
"2025-07-18","Instagram","Jadwal handshake event bulan depan masih dalam konfirmasi panitia.","1473","netral"
"2025-05-21","Instagram","Setlist malam ini sama seperti show sebelumnya, tidak ada perubahan.","972","netral"
"2025-05-14","Twitter","Setiap kali nonton live selalu ada teknis yang bermasalah, kapan diperbaiki?","1427","positif"
"2026-02-10","Twitter","Oshi saya berhasil masuk senbatsu untuk pertama kalinya! Bangga banget!!","1470","positif"
"2026-02-07","Twitter","Line-up event anniversary JKT48 tahun ini sangat padat dan beragam.","1416","netral"
"2026-02-27","Twitter","Tiket sold out dalam 5 menit, sistem pembeliannya benar-benar mengecewakan.","1048","negatif"
"2026-02-26","Twitter","Single baru sudah tersedia di semua platform streaming mulai hari ini.","107","netral"
"2026-01-21","Twitter","Anniversary concert kemarin adalah yang terbaik sepanjang masa! Terima kasih JKT48 🎉","373","positif"
"2026-01-17","Twitter","Kolaborasi dengan brand lokal ini sungguh keren, proud of JKT48!","51","positif"
"2026-01-26","Twitter","Baru pertama kali nonton JKT48 live, penasaran sama suasana langsung.","1254","positif"
"2026-02-06","Twitter","Vokal member makin stabil dan kuat, improvement yang sangat terasa!","703","positif"
"2026-01-22","Twitter","JKT48 keren banget! Penampilan kemarin di konser bikin nangis haru 😭❤️","1424","positif"
"2026-02-20","Twitter","Teman ngajak nonton handshake event minggu depan, masih mikir-mikir.","1479","netral"
"2026-01-20","Twitter","Sound system di venue sangat buruk, suara member tidak terdengar jelas sama sekali.","1487","negatif"
"2026-01-23","Twitter","Lihat trending JKT48 di Twitter, jadi ikutan cari tahu lebih lanjut.","1213","positif"
"2026-01-23","Twitter","Info tiket konser sudah bisa dicek di website resmi mulai besok.","850","netral"
"2026-01-19","Twitter","Baru tahu JKT48 punya theater sendiri, unik juga konsepnya.","215","positif"
"2026-01-31","Twitter","Tadi lewat venue tempat konser JKT48, ramai juga ternyata.","882","positif"
"2026-02-08","Twitter","Koreografi lagu baru benar-benar segar dan berbeda dari biasanya, suka banget!","744","positif"
"2026-01-12","Twitter","Stage performance malam ini 10/10, tidak ada yang bisa menandingi energi mereka!","1164","positif"
"2026-02-21","Twitter","Setlist malam ini tidak berbeda jauh dari show minggu lalu.","217","netral"
"2026-02-05","Instagram","Foto behind the scene selalu ditunggu-tunggu, terima kasih tim!","739","positif"
"2026-02-01","Instagram","Oshi masuk cover single baru, bangga banget sama pencapaiannya!","460","positif"
"2026-01-18","Instagram","Kualitas konten Instagram makin bagus, estetik dan informatif!","770","positif"
"2026-01-28","Instagram","Kontennya informatif, tapi desain postingan bisa lebih baik lagi.","194","netral"
"2025-12-31","Instagram","Outfit JKT48 di event ini keren banget, suka sama konsepnya!","479","positif"
"2026-01-01","Instagram","Baru pertama kali lihat konten JKT48 di Instagram, lumayan menarik.","765","positif"
"2026-01-25","Instagram","Foto groupnya kompak, chemistry member kelihatan banget.","370","positif"
"2026-01-15","Instagram","JKT48 selalu bikin hari jadi lebih semangat, love you all! 💕","480","positif"
"2026-02-05","Instagram","Caption postingan sering ada typo, mohon lebih teliti sebelum upload.","511","negatif"
"2025-12-31","Instagram","Penasaran sama program baru yang diteaser kemarin di stories.","78","positif"
"2026-01-26","Instagram","Anniversary post-nya cantik banget, tim kreatif keren!","29","positif"
"2026-02-26","Instagram","Senang banget lihat member makin berkembang setiap penampilannya.","161","positif"
"2026-02-02","Instagram","Respon CS-nya lambat banget, komplain dari kemarin belum dibalas.","114","negatif"
